Norms,Norms Code,Standard Units,Standard Qtd,Skilled Manpower,Unskilled Manpower
Brick Work. Supplying preparing and construction of chimney made brick work of approved quality with 1:3 cement sand mortar ratio with 30 m lead,CBW13,CUM,1,1.5,2.2
Brick Work. Supplying preparing and construction of chimney made brick work of approved quality with 1:4 cement sand mortar ratio with 30 m lead,CBW14,CUM,1,1.5,2.2
"1:4:8 PCC works(foundation,wall boundary concreting work material supply and upto 30m lead)",PCCWM7,CUM,1,1,4
"1:3:6 PCC Works, M10 Grade Concrete Manual Mixing(foundation,wall,boundary concreting work supply and installtion upto 30m lead)",PCCWM10,CUM,1,1,4
"1:2:4 PCC Works, M15 Grade Concrete mixed manually(foundation,wall,boundary material supply and installtion upto30m lead)",PCCM15,CUM,1,1,4
"1:1.5:3 Concrete, M20 Grade, Mixed Manually(deck slab,beam,super structure material supply and installation upto 30m lead)",RCCWM20,CUM,1,0.8,7
"1:1:2 RCC Work, M25 grade concrete, Mixed Manually(deck slab,beam, superstructure supply and installation upto 30m lead)",RCCWM25,CUM,1,0.8,7
"1:1.5:3 RCC Works, M20 Grade Concrete using machine",RCCM20,CUM,1,0.5,3.5
"1:1:2 Ratio Concrete, M25 Grade Concrete, Mixing By mixer",RCCM25,CUM,1,0.5,3.5
"Cutting, bending, placing, and binding reinforcement bars with a lead of 30m.",RE001,MT,1,12,12
1:1:2 (M25) concrete in superstructure using micro silica and plasticizer with 30 m lead,RCCPM25,CUM,1,0.5,3.5
preparing and supplying material for casting super structure using Ready mix and also transportation,RMC001,CUM,1,0.5,3.5
38 mm thick screeding floor finish of 1:2:4 concrete,FW001,SM,1,1.25,2
50 mm thick screeding floor finish of 1:2:4 ratio concrete,FW002,SM,1,1.25,2.5
75 mm screeding flooring finish with 1:2:4 concrete ,FW003,SM,10,1.25,3
3 mm thick cement punning floor finish above screeding ,FE004,SM,100,10,10
Porcelain glazed tile works in 1:4 cement sand mortar ,FW004,SM,10,13,4.5
Vitrified tile works in 1:4 cement sand mortar ,FW005,SM,10,13,4.5
"12.5 mm Plaster works on all kinds of vertical surfaces,  1:2 Cement Sand ratio",PW12,SM,1,12,16
"12.5 mm Plaster works on all kinds of vertical surfaces,  1:3 Cement Sand ratio",PW13,SM,100,12,16
"12.5 mm Plaster works on all kinds of vertical surfaces,  1:4 Cement Sand ratio",PW14,SM,100,12,16
"12.5 mm Plaster works on all kinds of vertical surfaces,  1:6 Cement Sand ratio",PW16,SM,100,12,16
"20 mm Plaster works on all kinds of vertical surfaces,  1:3 Cement Sand ratio",PW2013,SM,100,14,19
"20 mm Plaster works on all kinds of vertical surfaces,  1:4 Cement Sand ratio",PW2014,SM,100,14,19
"20 mm Plaster works on all kinds of vertical surfaces,  1:6 Cement Sand ratio",PW2016,SM,100,14,19
"20 mm Plaster Patti, Rain Beat, or Jhalar above plaster",PW006,M,1,0.025,0.01
Manual Excavation of Soft Soil lift up to 1.5 m and dispose up to 10m,EW001,CUM,1,0,0.7
Manual Excavation of hard Soil and soft rock lift up to 1.5 m and disposal of up to 10m,EW002,CUM,1,0,0.8
Manual Excavation/ cutting of medium type of rock lift up to 1.5 m and disposal of up to 10m without the use of Explosives.,EW003,CUM,1,0,3
Manual Excavation/cutting of hard rock lift up to 1.5 m and disposal of up to 10m without the use of Explosives and chisel.,EW004,CUM,1,0,5
Manual Excavation/cutting of hard rock lift up to 1.5 m and disposal of up to 10m using a chisel hammer but without the use of Explosives.,EW005,CUM,1,0,24.2
"Manual filling, spreading, watering, and compacting of soil in 15 cm layers with a lead of 10 m",EW006,CUM,1,0,0.5
"Manual filling, spreading, watering, and compacting of sand in 15 cm layers with a lead of 10 m",EW007,CUM,1,0,0.7
Compacting of soil or sand  in 20 cm layers using 8-10 MT pneumatic roller,EW008,SM,100,0,0.7
Excavation of Soft Soil using  0.35 Cum Excavator,EW009,CUM,1,0,0
Excavation of Hard Soil using  0.35 Cum Excavator,EW010,CUM,1,0,0
Excavation of soft rock using  0.35 Cum Excavator,EW011,CUM,1,0,0
Excavation of hard rock using  0.35 Cum Excavator,EW012,CUM,1,0,0
Excavation of Soft Soil using  0.63 Cum Excavator,EW013,CUM,1,0,0
Excavation of Medium Soil using  0.63 Cum Excavator,EW014,CUM,1,0,0
Excavation of soft rock using  0.63 Cum Excavator,EW015,CUM,1,0,0
Excavation of hard rock using  0.63 Cum Excavator,EW016,CUM,1,0,0
Excavation of Soft Soil using  0.8 Cum Excavator,EW017,CUM,1,0,0
Excavation of hard Soil using  0.8 Cum Excavator,EW018,CUM,1,0,0
Excavation of soft rock using  0.8 Cum Excavator,EW019,CUM,1,0,0
Excavation of Hard rock using  0.8 Cum Excavator,EW020,CUM,1,0,0
Excavation of Soft Soil using  1.32 Cum Excavator,EW021,CUM,1,0,0
Excavation of hard Soil using  1.32 Cum Excavator,EW022,CUM,1,0,0
Excavation of soft rock using  1.32 Cum Excavator,EW023,CUM,1,0,0
Excavation of hard rock using  1.32 Cum Excavator,EW024,CUM,1,0,0
Flat Brick Soling Works spreading of sand,SW001,SM,10,0.5,1
Stone Soling Works,SW002,CUM,10,1,3.5
Brick Work. Supplying preparing and construction of chimney made brick work of approved quality with 1:6 cement sand mortar ratio with 30 m lead,CBW16,CUM,1,1.5,2.2
"Brick wall Work. Supplying of brick,cement,sand preparing(1:6)motar with  chimney made brick with 30 m lead/transported.",MBW18,CUM,1,1.6,2.2
Brick Work. Supplying preparing and construction of Machine made brick work of approved quality with 1:3 cement sand mortar ratio with 30 m lead,MBW13,CUM,1,1.5,2.2
Brick Work. Supplying preparing and construction of Machine made brick work of approved quality with 1:4 cement sand mortar ratio with 30 m lead,MBW14,CUM,1,1.5,2.2
Stone Masonry Work. Supplying preparing and construction of stone masonry of approved quality with 1:4 cement sand mortar ratio with 30 m lead,SMW14,CUM,1,2,5.4
Stone Masonry Work. Supplying preparing and construction of stone masonry of approved quality with 1:3 cement sand mortar ratio with 30 m lead,SMW13,CUM,1,2,5.4
Stone Masonry Work. Supplying preparing and construction of stone masonry of approved quality with 1:6 cement sand mortar ratio with 30 m lead,SMW16,CUM,1,2,5.4
Ply formwork in Column,SFW001,SM,10,1.574,2.361
Ply formwork in Beam upto 0.3m high,SFW002,SM,10,4,6
Ply formwork in Slab using tubular pipes,SFW003,SM,100,16.5,25.7
Roofing work using  (CGI) Corrugated Galvanized Iron Sheet 24 gage (0.5 mm),RW001,SM,10,1.1,1.25
placing and fixing of Ridge cover made of Plane Iron Sheet 24 gage (0.5 mm),RW002,M,10,2,3
Roofing work using  Plane corogated Galvanized Iron (GI) Sheet 24 gage (0.5 mm).,RW003,SM,10,1.1,1.25
Making and placing 150 mm to 450 mm wide with galvanized plane sheet gutter for rain water putting on pipe and all complete with (40 mm*3mm) iron brackets and other required accessories.,RW004,M,10,1.75,2
Making and fixing door frame of Nepali Saal wood,WW001,CUM,1,34,3.4
Cutting and placing 16 mm Granite in 20 mm 1:2 Cement sand mortar without polishing,FW006,SM,10,2,8
Supply and Place aluminium window panels with frames as per design and specification,DWP001,SM,1,0,0
Supply and Place UPVC window panels as per design and specification,DWP002,SM,1,0,0
"Supply and place wooden door panels made of Nepali Saal wood plank in a 38 mm thick wooden frame. Dila-khapa(khappa ko naap:1.07*1.982,2.114 sqm).",DWP003,SM,1,10,1
"Supply and place wooden window panels made of 38  x 75 mm Nepali Saal wood frame and a glass of appropriate thickness and color(Khappa ko naap:1.829*1.22,2.23 sqm)/ 3mm mirror install too
",DWP004,SM,1,9,0.9
Supply and place 38 mm Flush wooden door panel of size 1.1 m x 2.-2.25 m made of Nepali Saal wooden frame  flushed with 3 mm commercial ply on both sides,DWP005,SM,1,7,0.7
Supply and place 38 mm Flush wooden door panel of size 1.1 m x 2.-2.25 m made of Nepali Saal wooden frame flushed with 3 mm teak ply on both sides.,DWP006,SM,1,7,0.7
Single Coat white cement application,PW001,SM,100,0.8,0.7
Double Coat white cement application,PW002,SM,100,1.5,1.1
Triple Coat white cement application,PW003,SM,100,3,2.7
Aster Primer Paint Work for distemper paint,PW004,SM,100,2,2
Two layers of Emulsion Paint over a single layer of primer paint,PW005,SM,100,5.8,5.8
Two layers of Wall Putty over the plastered surface,PW007,SM,100,3,3
Supply and place stainless steel railing in the staircase of height 90cm,RW01,M,3.66,10,10
Supply and place wooden railing in the staircase.,RW02,M,1,0,0
Supply and place Iron wood railing in the staircase.,RW03,M,1,0,0
"Supply and place steel railing in the parapet, and terrace, balcony.",RW04,M,1,0,0
"Supply and place iron railing in the parapet, and terrace, balcony.",RW05,M,1,0,0
Supply and place the iron railing in the boundary fence.,RW06,M,1,0,0
4 inch Brick Work of size 9x 4x 2 inch brick. Supplying preparing and construction of Machine made brickwork of approved quality with 1:4 cement sand mortar ratio with 30 m carrying/transported too.,MBW17,SM,10,1.5,2.2
Supply and place iron rolling shutter all complete.,IW001,SM,1,0,0
Supply and Place 5 mm glass of appropriate color over aluminum frames as per design and specification,FW010,SM,1,0,0
Installation of Gypsum Board False Ceiling of Approved Design all complete,Dec001,SM,1,0,0
Installation of 2x2 Board False Ceiling of Approved Design all complete.,DEC002,SM,1,0,0
Cutting and placing 15-18 mm Marble 1:2 Cement sand mortar without polishing,FE007,SM,10,2,8
Supply and place Water Tank Stand of Appropriate size ,IW002,Nos,1,0,0
Supply and place Spiral Staircase of Appropriate size ,IW003,Nos,1,0,0
Latex Polymer Based Water Proofing,WP001,SM,1,0,0
"Supply and place readymade PVC panels of approved design and quality, with appropriate door accessories all complete",DWP007,SM,1,1,1
Supply and place fixed modular cabinet cabinets all complete,FFW001,SM,1,1,1
Supply and place 10-12 mm toughened glass partition,FFW002,SM,1,1,1
Protection of Excavation Work using Sheet pile of approved design and quality,SPW001,SM,1,0,0
Marble polishing Works,FE008,SM,10,0,13.5
25 mm 1 inch thick tile design Plaster above plaster,PW008,SM,10,0,0
Site Clearance  Works all complete.,SPW,SM,10,0,0.23
One layer of 500 Gauge Polythene sheet,WP002,SM,10,0.6,0.6
Supply and place iron grill of appropriate design in window or other opening all complete.,IW008,SM,1,0,0
Supply and place iron main gate of appropriate design all complete.,IW009,SM,1,0,0
Supply and place PVC Water Tank of Appropriate size,PSW001,Nos,1,0,0
"Supply and place readymade door net panels of approved design and quality, with appropriate door accessories all complete",DWP008,SM,1,1,1
Tile skirting works in 1:4 cement sand mortar ,FW007,M,1,0.15,0.1
Granite skirting works in 1:4 cement sand mortar ,FW008,M,1,0.15,0.1
"Granite skirting works in 1:4 cement sand mortar in Lintel, sill, parapet and other horizontal and vertical surface with required nosing and chamfering",FW009,M,1,0.3,0.2
100 mm Skirting of 15-20mm thickness over plastered surface all complete,PW009,M,1,0.025,0.01
Cutting trees branches and clearing site of trunk size 12 to 30 cm,SPW002,Nos,1,0,0.13
Cutting trees branches and clearing site of trunk size 31 to 60 cm,SPW004,Nos,1,0,0.39
Cutting trees branches and clearing site of trunk size 31 to 60 cm.,SPW005,Nos,1,0,0.98
Cutting trees root extraction from ground and transporting 15m far from site of trunk size 12 to 30 cm.,SPW006,Nos,1,0,0.4
Cutting trees root extraction from ground and transporting 15m far from site of trunk size 31 to 60 cm.,SPW008,Nos,1,0,0.53
Cutting trees root extraction from ground and transporting 15m far from site of trunk size 61 to 120 cm.,SPW007,Nos,1,0,2.52
"surface dressing, dig earthwork, surface leveling, cutting of mud of sqm",SPW009,SM,1,0,0.01
"grass plantation work with cutting and planting on another place, fertilization and watering and taking care of work",SPW010,SM,100,0,5.04
"grass cutting and extraction of its root, breaking its soil and leveling the surface with carrying and throwing material to site clean",SPW011,SM,10,0,0.23
"Plantation of tree,digging hole of 45cm diameter 4nos  of 3*20mm GI sheet and 5*5cm size GImesh and making 1m height tree guard for safety, watering and fertilization etc with transportation.",SPW012,Nos,10,4,3
doing hole bore for soil testing and sending sample  in lab for report preparation(for rate analysis lose soil and 12m depth taken),SPW013,Nos,1,6,2
all excavation work. disposal transportion of soil upto 10m and also upto 1.5m lifting.( for lose clay and silty clay),EW24,CUM,1,0,0.7
all excavation work. disposal transportion of soil upto 10m and also upto 1.5m lifting.( For hard type clay mixed with soft aggregate size upto 30cm ),EW25,CUM,1,0,0.8
all excavation work. disposal transportion of soil upto 10m and also upto 1.5m lifting.( without blasting done stone normal type stone),EW26,CUM,1,0,3
all excavation work. disposal transportion of soil upto 10m and also upto 1.5m lifting.( without blasting done hard stone type )(roof no need to install),EW27,CUM,1,0,5
all excavation work. disposal transportion of soil upto 10m and also upto 1.5m lifting.(without blasting done hard stone type)(roof need install),EW28,CUM,1,0,24.2
soil filling done by normal sand.15/15 cm layer laying and spraying water and compaction to done by labor( transportation of material from upto 10m).,EW29,CUM,1,0,0.5
"soil filling done by normal sand.15,15 cm layer laying and without spraying water and compaction to done by labor( transportation of material from upto 10m).",EW30,CUM,1,0,0.25
sand filling and laying and without spraying water and compaction to done by labor( transportation of material from upto 10m).,EW31,CUM,1,0,0.7
Gravel filling on footing area and compaction doing by labor using jumper.,EW32,CUM,1,0,0.75
footing or footing excavation pit dewatering done by pump.,EW33,MT,5,0,0
"20,20 cm filled soil layer compacted with 1Ton  rollar.",EW34,CUM,100,0,53
"20,20 cm layered old soil compacted with rollar.",EW35,CUM,100,0,0
"Brick Work. Supplying preparing and construction of brickwall work of approved quality with 1:1:1 chuna, surti and sand mortar ratio with 30 m lead",LBM1,CUM,1,1.5,2.2
"Brick Work. Supplying preparing and construction of brickwall work of approved quality with 1:2 chuna, surkhi  mortar ratio with 30 m lead",LBM2,CUM,1,1.5,2.2
mud/soil used as motar for MB ,LBM3,CUM,1,1,1.7
"outer wall surface made with daapchaa, aapaa material  with 1:4 cement and sand brick masonary wall and done tipkarry with chuna surti and transported upto 30m",LBM4,SM,10,1.91,2.45
shuttering work for BM wall work of ground flooor,MBW19,CUM,1,0,0.2
shuttering work for BM wall work of above each ground flooor,MBW20,CUM,1,0,0.7
"Rubble Stone Masonry Work. Supplying hard block stone,preparing mix with cement and sand(1:3) and constructing Rubble masonary wall upto 5m high and transporting upto 10m  distance.",SMW17,CUM,1,1.5,5
"Rubble Stone Masonry Work. Supplying hard block stone,preparing mix with cement and sand(1:4) and constructing Rubble masonary wall upto 5m high and transporting upto 10m  distance.",SWM18,CUM,1,1.5,5
"Rubble Stone Masonry Work. Supplying hard block stone,preparing mix with cement and sand(1:6) and constructing Rubble masonary wall upto 5m high and transporting upto 10m  distance.",SWM19,CUM,1,1.5,5
Dry Rubble Stone Masonry Work. Supplying block and bond stone and constructing Rubble masonary wall upto 5m high and transporting upto 10m  distance.,SWM20,CUM,1,1,2
 Mud Rubble Stone Masonry Work. Supplying hard block tone  and constructing Rubble masonary wall with mud mix upto 5m high and transporting upto 10m  distance.,SWM21,CUM,1,1,2.25
Stone arch wall or third layer surface work.supplying block stone  and preparaing and supplyinh cement snad mix (1:3) and transported to 30m distance,SWM22,CUM,1,2,5.4
Stone arch wall or third layer surface work.supplying block stone  and preparaing and supplyinh cement snad mix (1:4) and transported to 30m distance,SWM23,CUM,1,2,5.4
Stone arch wall or third layer surface work.supplying block stone  and preparaing and supplyinh cement snad mix (1:6) and transported to 30m distance,SWM24,CUM,1,2,5.4
"Rubble Stone Masonry Work. Supplying hard block stone,preparing mix with cement and sand(1:3) and constructing Rubble masonary wall upto 5m to 10m high done and transporting upto 10m  distance.",SMW18,CUM,1,1.5,6.17
"Rubble Stone Masonry Work. Supplying hard block stone,preparing mix with cement and sand(1:4) and constructing Rubble masonary wall upto 5m to 10m high and transporting upto 10m  distance.",SWM25,CUM,1,1.5,6.17
"Rubble Stone Masonry Work. Supplying hard block stone,preparing mix with cement and sand(1:6) and constructing Rubble masonary wall upto 5m TO 10m high and transporting upto 10m  distance.",SWM26,CUM,1,1.5,6.17
Dry Rubble Stone Masonry Work. Supplying block and bond stone and constructing Rubble masonary wall upto 5m to 10m high and transporting upto 10m  distance.,SWM27,CUM,1,1,3.17
 Mud Rubble Stone Masonry Work. Supplying hard block tone  and constructing Rubble masonary wall with mud mix upto 5m to 10m high and transporting upto 10m  distance.,SWM28,CUM,1,1,4.42
brocken stone work with chuna and sand mix(1:2),SWM29,CUM,10,15,42
sculpture/Kundheyko stone work with Cement and sand mix(1:2),SWM30,CUM,10,15,30
foundation excavated pit back filling with stone and transported within 30m distance. ,SWM31,CUM,1,0,1.5
white cement glass block wall work and transportation done with 30m distance.,GMW,SM,1,0.75,1.88
concrete mesh block wall made with mix cement and sand(1:4) and transported upto 30m,CMW,SM,10,1.1,1.8
concrete hollow block wall made with mix cement and sand(1:4) and transported upto 30m,CWW,SM,1,0.25,0.25
"1:3:6 PCC Works, M10 Grade Concrete Machine  Mixing(foundation ,wall,boundary supply and installation upto 30m lead)",PCCWM11,CUM,1,0.5,3.5
"1:2:4 PCC Works, M15 Grade Concrete machine mixed (foundation,wall,boundary supply and transportation upto 30m lead)",PCCM16,CUM,1,0.5,3.5
supplying and preparing material for RCC single under rim pile in foundation and transporting upto 30m(365mm dia and 6m length),SPW003,CUM,1,2.72,7.5
6.35 cm thick diameter R.B category work(1:3),SPW0010,CUM,10,1.15,3
"installing, prepration, neiling, oiling of column and removal of form work",SFW004,SM,10,3.748,5.622
Ply formwork in Beam from 0.3m to 0.8m high,SFW005,SM,10,2.67,4
prepration of 19mm ply formwork for beam.,SFW006,SM,10,2.67,4
Iron pipe and  plywood formwork used for shuttering,SFW007,SM,100,17.2,25.7
circular bharang area use of plyboard,SFW008,SM,10,4,6
upto 6m span and 4m depth arch area put steel sheet and wood flank formwork,SFW009,SM,10,9,7.5
upto 6m span and 4m depth in dome area/structure use of iron sheet and wooden flank for form work,SFW10,SM,10,16.5,13
upto 5m height wooden formwork needed for carnace work,SFW11,SM,10,9.5,7
additional manpower needed for height above 5m high carnace work( like 3m to 5m additional height),SFW12,SM,10,0.72,1.14
additional manpower needed for height above 5m high carnace work( like 5m to 10m additional height),SFW13,SM,10,3,4.4
on trench formwork of walling upto depth of 1.5m to 3m.,SFW14,SM,100,0.5,1
on trench formwork of walling upto depth of 3m to above.,SFW15,SM,100,1,1.75
placing and fixing of Ridge cover made of colored  galvanized plane Sheet 24 gage (0.5 mm),RW3,M,10,2,3
Roofing work using  Plane Galvanized Iron (GI) Sheet (0.5mm).,RWOO5,SM,10,1.1,1.25
Roofing work using  colored plane Galvanized Iron (GI) Sheet.,RW006,SM,10,1.1,1.25
Making and placing 150 mm to 450 mm wide with colored galvanized plane sheet gutter for rain water putting on pipe and all complete with (40 mm*3mm) iron brackets and other required accessories.,RW007,M,10,1.75,2
preparing and installing roof by use of slate ,RW008,SM,10,4,5
preparing and installing roof by use of clay tile,RW009,SM,10,0.5,1.5
preparing and installing ridge  by use of clay tile,RW10,SM,10,0.5,0.5
preparing and installing 10cm thick lime concrete terraced roof (1:1:3),RW013,SM,10,1.5,12
preparing and installing roof  with bamboo frame and placing rice straw work (8cm thick),RW014,SM,10,1.5,1.5
preparing and installing roof  with bamboo frame and placing rice straw work (15cm thick),RW015,SM,10,2,2
preparing and installing roof  with corrugated fiber glass sheet,RW15,SM,10,1.1,1.25
preparing and installing roof ridge with fiber glass sheet.,RW16,SM,10,2,3
"supply,placing colored cement tile on screed of sand and cement mix(1:4)",RW17,SM,10,1,2
supplying and installating Agraakh wood beam and dalin/rafter,RW18,SM,10,1.43,0.143
supplying and installating Agraakh wood truss or kainchhi,RW19,CUM,1,17.65,26
"installing on roof 2mm thick UPVC sheet and accessories like clip,washer.",RW20,SM,10,1.5,1
"installing on roof 3mm thick UPVC sheet and accessories like clip,washer.",RW21,SM,10,1.5,1
"Supply and place wooden window panels made of 38  x 75 mm Nepali Saal wood frame and a glass of appropriate thickness and color(Khappa ko naap:1.829*1.22,2.23 sqm)/ 4mm mirror install too
",DWP009,SM,1,9,0.9
"prepration and installation of Agraakh wood frame for window
",DWP010,CUM,1,34,3.4
" installation of 6mm mirror/glass for window.
",DWP012,CUM,1,9,0.9
Supply and place 38 mm thick agrakh wooden door panel of size 1.1m m x 2-2.25 mm made of flushed with G.R Plane sheet on both sides,DWO014,SM,1,7,0.7
Supply and place 38 mm agraakh Flush wooden door panel of size 1.1 m x 2.-2.25 m made of Nepali Saal/agrakh  wooden frame  flushed with G.R Plane sheet(24gauge) on both sides,DWP14,SM,1,5,0.5
installation of listee on different size mirror on chaukash (3mm mirror),DWP15,SM,1,0.06,0.006
installation of listee on different size mirror on chaukash (6mm mirror),DWP17,SM,1,0.06,0.006
installation of listee on different size mirror on chaukash (4mm mirror),DWP16,SM,1,0.06,0.006
installation of 3mm commercial plywood wood listee work in chaukash,DWP18,SM,1,0.06,0.006
cutting of 16mm-20mm dia iron rod and making hole on chaukash and installation work.,DWP19,MT,1,20,20
installation and prepraing on 38mm*100mm saal wood frame use 8mm commercial plywood and on one side do lamination with 4mm thick teak ply by making dilla-kahppa,DWP20,SM,2.245,9,0.9
installation and prepraing on 38mm*100mm saal wood frame use 8mm commercial plywood and on both side do lamination with 4mm thick teak ply by making dilla-kahppa(delete),DWP21,SM,2.245,9,0.9
installation and prepraing on 38mm*100mm saal wood frame use 8mm water proof plywood and on one side do lamination with 4mm thick teak ply making water proof dilla-kahppa,DWP22,SM,2.245,9,0.9
by doing seasoning and poisoning used of one side teak and of normal type of door installation with necessary hardware accessories,DWP23,SM,1,1.76,0.18
by doing seasoning and poisoning used of one side teak and of special type of door installation with necessary hardware accessories,DPW24,SM,1,1.61,0.161
by doing seasoning and poisoning used of one side teak and another side water proof ply and of normal type of door installation with necessary hardware accessories,DWP25,SM,1,1.61,0.161
by doing seasoning and poisoning used of one side teak and another side water proof ply and of special type of door installation with necessary hardware accessories,DPW26,SM,1,1.61,0.161
