Norms,Norms Code,Standard Units,Standard Qtd,Skilled Manpower,Unskilled Manpower
lamination of sonmikka and installation on one side,DPW27,SM,1,0.06,0.006
lamination of formikka and installation on one side,DDPW100,SM,1,0.06,0.006
"aluminium landing window, glass and its fitting with its installation(for analysis 1.49sqm area taken)",DWP29,SM,1,5.33,5.33
"aluminium openable window, glass and its fitting with its installation(for analysis 2.23sqm area taken)",DWP30,SM,1,8,8
aluninium door with pre-laminated board and its accessories and installation(analysis2.16sqm area taken),DWP31,SM,1,6.22,6.22
aluninium door with upper part with glass and lower part pre-laminated board and its accessories and installation(analysis1.81sqm area taken),DWP32,SM,1,6.22,6.22
"Supply and Place UPVC aluminium door window work with board,glass and its fitting.(80mm*80mm)size landing with 5mm glass.",DWP 003,SM,1,0,0
"Supply and Place UPVC aluminium door window work with board,glass and its fitting.(60mm*60mm)size landing with 5mm glass.",DWP0010,SM,1,0,0
"Supply and Place UPVC aluminium door window work with board,glass and its fitting.(100mm*60mm)size landing with 9mm glass.",DWP0011,SM,1,0,0
"Supply and Place UPVC aluminium door window work with board,glass and its fitting.(80mm*50mm)size casement type 5mm double glass.",DWP013,SM,1,0,0
"Supply and Place UPVC aluminium door window work with board,glass and its fitting.(60mm*60mm)size wing door with 5mm glass.",DWP0014,SM,1,0,0
"Supply and Place UPVC aluminium door window work with board,glass and its fitting.(60mm*60mm)size casement type 5mm double glass.",DWP0015,SM,1,0,0
"Supply and Place UPVC aluminium door window work with board,glass and its fitting.(50mm*50mm)size landing type with 5mm glass and aluminium land .",DWP0016,SM,1,0,0
"Supply and Place UPVC aluminium door window work with board,glass and its fitting.(60mm*60mm)size casement type 5mm glass and paleyn luver.",DWP0017,SM,1,0,0
"Supply and Place UPVC aluminium door window work with board,glass and its fitting.(60mm*60mm)size casement type 5mm glass and adjustable glass and with palayen luver",DWP0018,SM,1,0,0
"Supply and Place UPVC aluminium door window work with board,glass and its fitting.(50mm*80mm)size casement type 5mm glass,aluminium slide and also paleyn luver.",DWP0019,SM,1,0,0
"Supply and Place UPVC aluminium door window work with board,glass and its fitting.(100mm*60mm)size swing type 5mm glass and below part with UPVC paleyn",DWP0020,SM,1,0,0
25mm thick mosic flooring. doing 20mm cement concrete(1:2:4) ontop do 5mm thick(1:1)white cement and marble chip using and rubbing and ploishing.,FW0011,SM,10,2.5,16
25mm thick mosic flooring. doing 19mm cement plaster(1:2) ontop do 6mm thick(1:1)white cement and marble chip using and rubbing and ploishing.,FW0012,SM,10,3.5,36
20mm thick mosic flooring. doing 12.5mm cement plaster(1:2) ontop do 6mm thick(1:1)white cement and marble chip using and rubbing and ploishing.,FW0013,SM,10,3.5,36
20mm terrajo tile placing on 20mm cement sand thick mix(1:4) rubbing and ploishing.,FW0014,SM,10,2,12.6
50mm thick flag stone/chaapney stone  used for flooring in (1:4)cement and sand ,FW0015,SM,10,2,4.5
50mm thick flag stone/chaapney stone  used for flooring on top of sand .,FW0016,SM,10,1,3
37.5mm thick flag stone/chaapney stone  used for flooring in (1:4)cement and sand ,FW0017,SM,10,2,4.5
25mm thick CHYAAPTOO stone/chaapney stone  used for flooring in (1:4)cement and sand ,FW0018,SM,10,1.5,4.5
25MM thick teyliyaa brick placing on mix of chunna surti(1:2) and doing tipkaar b cement and sand(1:1).,FW0019,SM,10,4.5,4.5
Thadoo brick placing on cement and sand mix(1:6) and doing tipkaar on its joint with mix(1:2),FW0021,SM,10,1.1,1.8
cheyptoo brick placing on cement and sand mix(1:2) and doing tipkaar on its joint.,FW0020,SM,10,2.25,3.25
placing parketing and doing khassi and ploishing,FW0022,SM,10,1.75,0.75
Dry brick used flooring work(cheyptoo brick).,FW0023,SM,10,0.5,1
Dry brick used flooring work(Thadoo brick).,FW0024,SM,10,1,3.25
Dry stone used in flooring work.,FW0025,SM,10,1,3.5
do 125mm thick thadoo brick soling and fill sand on joint and also on top of joint use cement sand(1:3) mix .,FW0027,SM,10,2,4
placing 46cm*46cm stone for flooring and use tipkaar of cement and sand mix(1:1).,FW0028,SM,10,0.5,0.5
filling surface by sand ,FW0029,SM,10,6.5,0
filling surface by (15mm-150mm) brocken brick.,FW0030,SM,10,10,0
3mm thick cement masino rubbing ,FW0033,SM,10,1,1
using 50mm*70mm agrakh frame and placing 25mm thick pannel of agraakh of size 600mm*600mm.,FW0034,SM,10,6.5,0.65
arranging material and laying 50mm thick heavy duty interlink concrete block on top of 50mm thick crusser dust.,FW0035,SM,10,1,10
arranging material and laying 60mm thick heavy duty interlink concrete block on top of 50mm thick crusser dust.,FW0036,SM,10,1,10
doing plain plaster of paris on ceiling and wall.,FW0037,SM,10,1,1
machine made clay tile installing on wall surface.,FW0038,SM,10,13,4.5
16mm granite placement on 20mm thick cement and sand mix(1:2).,FW0039,SM,10,2,21.5
installing Antislip tile on floor of size 300mm*300mm and 25mm thick on cement sand mix(1:4).,FW0040,SM,10,1.5,1.5
installing Glazed ceramic tile on wall cement sand mix(1:4).,FW0041,SM,10,1.3,0.45
installing non-glazed tile on cement sand mix(1:3)of 12mm thick and do white cement work on joint ,FW0042,SM,10,13,4.5
installing Acid Alakali processed/produced tile of size 300mm*300mm and 25mm thick done on  cement sand mix(1:4).,FW0043,SM,10,0.65,0.65
installing PVC tile on rubber based adhisive and rolling work,FW0044,SM,10,1.5,1.5
15mm marble(450mm*450mm) placed on 20mm thick surkhi mix(1:2) and rubbed and polished.,FW0045,SM,10,2,8
15mm marble(300mm*300mm) placed on 20mm thick cement and sand  mix(1:2) and rubbed and polished.,FW0046,SM,10,2,21.5
"15mm  marble tile placed on 12.5mm thick cement and sand  mix(1:3) done on steps of staircase,skirting,wall,column and rubbed and polished.",FW0047,SM,10,14,12
marble used for Nosing work of steps of staircase additional manpower added.,FW0048,SM,10,2.5,3.5
marble polishing work only,FW0049,SM,10,0,13.5
skirting work done on room  by wood parket of 12mm thick and 100mm height,FW0050,SM,10,6.5,0.65
skirting work done by non glazed tile of 12mm thick of cement and sand mix(1:6)and 100mm height,FW0051,SM,10,0.15,0.1
12.5mm thick plaster by cement lime and sand(1:1:6)part,PW0025,SM,100,12,16
12.5mm thick plaster by cement lime and sand(1:2:12)part,PW2018,SM,100,12,16
12.5mm thick plaster by cement lime and surkhi(1:2)part,PW0027,SM,100,12,16
20mm thick plaster by cement lime and surkhi(1:2)part,PW0028,SM,100,14,19
20mm plaster cement and sand (1:3),PW0029,SM,100,14,19
20mm plaster cement and sand (1:4),PW0031,SM,100,14,19
20mm plaster cement and sand (1:6),PW0032,SM,100,14,19
"25mm mud plaster work by making surface clean,curing with water and transporting upto 30m",PW0033,SM,100,20,25
"12mm mud plaster work by making surface clean,curing with water and transporting upto 30m",PW0034,SM,100,15,20
12.5mm thick cement sand plaster (1:3)part,PW0035,SM,100,15,20
12.5mm thick cement sand plaster (1:4)part,PW0036,SM,100,15,20
Flush rule tipkar work doing on brickmasonary wall of ratio(1:1)cement and sand,PW0037,SM,100,10.5,12
Flush rule tipkar work doing on brickmasonary wall of ratio(1:2)cement and sand,PW0038,SM,100,10.5,12
Flush rule tipkar work doing on brick masonary wall of ratio(1:1)Lime and Surkhi,PW0039,SM,100,10.5,12
Flush rule tipkar work doing on brick masonary wall of ratio(1:2)Lime and Surkhi,PW0040,SM,100,10.5,12
Flush rule tipkar work doing on bolder stone masonary wall of ratio(1:1)cement and sand,PW0041,SM,100,10,14
Flush rule tipkar work doing on bolder stone masonary wall of ratio(1:2)cement and sand.,PW0042,SM,100,10,14
Flush rule tipkar on asler work with (1:3)cement and sand mix,PW0044,SM,100,8,10
placing of Cheypto stone of 45cm *45cm  size and done tipkare (1:3)mix cement and sand ,PW0045,SM,100,8,5
placing of Teliyaa brick and done tipkare (1:1)mix cement and sand ,PW0046,SM,100,10,10
3mm thick flushing plaster with lime,PW0047,SM,100,10,10
3mm thick flushing plaster with cement,PW0048,SM,100,10,10
1 inch thick roofing tile buttaa plaster with cement and sand mix(1:4).,PW0049,SM,1,0,0
platsering work  of 2mm plain white patti on wall and ceiling.,PW0050,SM,10,1,1
white wash/white chuna lagauney on new surface( 1 coat).,PW0051,SM,100,0.8,0.7
white wash/white chuna lagauney on new surface( 2 coat).,PW0052,SM,100,1.5,1.1
white wash/white chuna lagauney on new surface( 3 coat).,PW0053,SM,100,3,2.7
Single coat Primer Paint Work for distemper paint,PW0054,SM,100,2,2
Double  coat and other additional coat Work for distemper paint,PW0055,SM,100,2,2
water proof cement paint(single coat),WP01,SM,100,1.7,1.7
water proof cement paint(Double coat),WP02,SM,100,5,5
doing Ready enamel paint or plastic enamel paint work( aster coat),WP03,SM,100,3,3
doing Ready enamel paint or plastic enamel paint work( one or first coat).,WP04,SM,100,5,2
doing Ready enamel paint or plastic enamel paint work( Double coat).,WP05,SM,100,4,3
doing one coat aster and double coat aluminium paint ready,WP07,SM,100,10.75,10.75
Double boiled linsid oil use(one coat),WP08,SM,100,2,2
Double boiled linsid oil use( double coat and other additional coat),WP09,SM,100,2,2
barnish work (one coat),WP010,SM,100,3,2
barnish work (double coat and other additional coat),WP011,SM,100,3,2
coal paint work(single coat),WP012,SM,100,1.5,1
coal paint work(double coat),WP013,SM,100,2.5,2
Chappra palish work 3 coat,WP014,SM,100,10,5
Red oxide coat paint work,WP015,SM,100,1.7,1.7
Red oxide 2 coat paint work,WP016,SM,100,3.5,3.5
doing cement paint on plasterd surface(one coat),WP018,SM,100,3.5,3.5
doing cement paint on plasterd surface(double coat),WP019,SM,100,3,3
old durbar/palace painting done by outer surface single coat white wash,WP020,SM,100,2,4
old durbar/palace painting done by outer surface single coat Ramtilak,WP021,SM,100,2,4
old surface wash with linsed oil and then doing enamel paint,WP022,SM,10,0.538,0.538
without aster do one coat ready enamel paint,WP023,SM,100,5,2
without aster do two coat ready enamel paint,WP024,SM,100,9,5
without aster do one coat platic enamel paint,WP025,SM,100,5,2
without aster do double coat platic enamel paint,WP026,SM,100,9,5
without aster do one coat aluminium paint,WP027,SM,100,3.75,3.75
without aster do two coat aluminium paint,WP028,SM,100,7.75,7.75
without aster do one coat red oxide paint,WP029,SM,100,4.3,4
without aster do two coat red oxide paint,WP030,SM,100,8.67,8
one layer use plastic failt ,WP031,SM,10,1.1,3.5
double  layer use plastic failt ,WP032,SM,10,2.3,4.6
one coat of primer with two coat of readywashable distemper use,WP034,SM,10,5.8,5.8
japanese texure paint painting,WP036,SM,10,0,0
Heritage wall  texure paint painting,WP035,SM,10,0,0
doing of anti termite work,WP037,SM,10,0,0
 water proof compound mix with cement sand mix(1:2) of 2cm thick for damn proof work,WDP01,SM,10,0.75,0.8
cement concrete mix of  (1:1.5:3) and 2.5 cm thick for damn proof work,WDP02,SM,10,1,1.25
one coat damnproof  bitument coat and cover with sand.,WDP03,SM,10,0,0.6
one layer ploytheyene sheet(500gauge)layout work,WDP04,SM,10,0.6,0.6
doing taarfelt (one layer) work for danmproof work,WDP05,SM,10,1.1,3.5
doing taarfelt (double layer) work for danm proof work.,WDP07,SM,10,2.3,4.6
Damnproof grade tarfelt doing work(one layer),WDP08,SM,10,2.35,4.6
Damnproof grade tarfelt doing work(double layer),WDP09,SM,10,3.5,11.7
elastocrate cementium elastomeric water proof coating double layer.,WDP10,SM,1,0,0
one coat renseal or like that paint work,WDP11,SM,1,0.162,0.54
breaking of wall done on soil and transporting and disposing upto 10m,DMW01,CUM,1,0,1.06
breaking of wall done on cement or concrete and transporting and disposing upto 10m.,DMW02,CUM,1,0,2.12
breaking of RCC or RBC work  and transporting and disposing upto 10m.,DMW03,CUM,1,0,11
breaking of plane cement concrete or bajjra concrete and transporting and disposing upto 10m.,DMW04,CUM,1,0,4
breaking of cement or bajjra plaster and transporting and disposing dust upto 10m.,DMW05,SM,1,0,0.108
breaking of tile roof and dispoing and removing its waste wood and tiles upto 10m.,DMW06,SM,1,0.054,0.108
paint used for anti bacteria and fungus protection type in wood ,DMW07,SM,1,0.22,0.1
dismantling of brocken brick on modoha of wall and repair on cemnet and sand mix(1:6),DMW08,CUM,1,3.53,7.06
dismantling of brocken brick on modoha of wall and repair on chuna and surkhi mix(1:2),DMW09,CUM,10,35.28,70.53
use of oxalic acid and rubbing and cleaning on  old marble and marble layer on wall ,DMW11,SM,10,0,3.38
rubbing and cleaning doing polish on old parket area.,DMW12,SM,10,0,0.38
"cleaning, rubbing on old mossic loring and putting nail polish work",DMW13,SM,10,0,3.38
claening and making break ready which is taken out from old brick wall and stacked. From(mud mix wall),DMW14,Nos,1000,0.04,3.9
claening and making break ready which is taken out from old brick wall and stacked. From( chuna s urkhi mixwall),DMW15,Nos,1000,0.75,4.1
claening and making break ready which is taken out from old brick wall and stacked. From( cement sand mix wall),DMW16,Nos,1000,1.2,4.85
claening and making stone  ready and stacking to reuse purpose (chuna surkhi mix),DMW17,CUM,1,0.18,1.05
claening and making stone  ready and stacking to reuse purpose ( cement and sand  mix),DMW18,CUM,1,0.22,1.15
"breaking of sulpured stone ,marble or precast concrete(chuna surkhi mix)",DWM19,CUM,1,0.1,1.4
"breaking of sulpured stone ,marble or precast concrete(cement and sand mix)",DWM20,CUM,1,0.1,2.7
breaking and stacking properly upto 10m span and 5m height wood related work( 40sqcm section),DWM21,CUM,1,0.1,0.2
breaking and stacking properly upto 10m span and 5m height wood related work( above 40 sq cm section),DWM22,CUM,1,1.25,2.6
"removing, seperating , collecting and tacking properly reinforcement  related work(rolled steel joint)",DWM23,MT,1,0.5,3.5
"removing, seperating , collecting and tacking properly reinforcement  related work(channel, angle,tee)",DWM24,MT,1,0.5,3
"removing, seperating , collecting and tacking properly reinforcement  related work(builtup section)",DWM25,MT,1,1.5,7
"removing, seperating , collecting and tacking properly reinforcement  related work(builtup section without seperation)",DWM26,MT,1,1,6
"fence work remove ,mud removal and filling mud on pit and levelling the surface(RCC fence)",DWM27,SM,1,0,0.45
"fence work remove ,mud removal and filling mud on pit and levelling the surface(Iron fence)",DWM28,SM,1,0,0.42
"fence work remove ,mud removal and filling mud on pit and levelling the surface(wood  fence)",DWM29,SM,1,0,0.4
removal of iron rod or material from RCC and RBC  and transported upto 10m,DWM30,SM,1,0.1,1.2
Gabion breaking materials removed upto 10m ,DWM31,CUM,1,0.1,1
"GIsheet roof dismantle and wood,rod  received from it is stacked upto 10m",DWM32,CUM,1,0.027,0.04
preparing and installation of 3mm*20mm iron grill work doing khakshi and aluminium paint,RWW01,SM,1,0,0
preparing and installation of 4.5mm*20mm iron grill work doing khakshi and aluminium paint,RWW02,SM,10,0,0
prepare and installation work. 4.5mm*20mm iron rod frame use 12mm*12mm solid core square rod grill and then doing khakshi put red oxide and aluminium paint,RWW03,SM,10,0.7,0.6
different size iron angle fabrication done and primer paint to make ready,RWW08,MT,0.001894,0.687,0.781
3m height 90cm breath iron spiral ladder prepration and installation work.,RWW09,M,3,16,16
"iron railing shutter prepration ,installation, painting and labor rate too",RWW010,MT,0.0093,16,16
"iron collapsable gate ,painting and installation ",RWW012,SM,10,0,0
"iron gate ,painting and installation ",RWW13,MT,0.001,0,0
wooden pole installation on gap of 3m distance and 5 straight row and 2 line teyrso barbaed fence installation,RWW016,M,30,1,2
installation GI wire barbared fence,RWW015,M,100,1.076,5.38
black pipe tubular truss isntallation and primer paint,RWW017,MT,0.1894,0.687,0.781
50mm black iron pole kept  in 2m gap with 25mm*25mm*4mm angle frame with 7mm iron rod and 62mm*62mm keep mesh diagonally install and 3mm*20mm iron sheet grill of 0.15mm high prepared and fabricated on top and done primer paint.,RWW19,SM,10,7,5
38mm dia stainless steel hainrail where 2m gap 38mm stainless steel vertical post keep and in between haindraila nd bottom two horizontal25mm dia stainless steel member kept and railing made and installed.,RWW020,SM,9.15,7.78,11.35
"15mm*15mm size sal or seesau wood artestic post and 3""*3""  artestic balluster used and 3""*4"" size sal or sesauu handrail install ",RWW021,SM,9,5.27,0.52
"Sesau wood 3""*4"" size handrail made and fitting done.",RWW24,M,1,0,0
"from 3mm/4mm"" * 3mm/4mm  size suwere pipe railing is made. from sal or sesau of size 3""*4"" handrailing is made and primer paint is done. ",RWW25,M,1,0,0
preparing of material of 20mm dia wood ceiling work and 40mm*20mm bidding joint work,WCW01,SM,10,1.8,1.5
preparing of material of 20mm dia plyboard ceiling work ,WCW02,SM,10,2,2
38mm*75mm size agrakh wood( 0.61mm*0.915mm )room frame made and on both side 3mm commercial plywood installation done with liste work done on joint do covering.,WCW03,SM,35.58,23,2.3
38mm*75mm size agrakh wood( 0.61mm*0.915mm )room frame made and on both side 3mm plywood installation done with liste work done on joint do covering.,WCW003,SM,35.568,23,2.3
38mm*75mm size agrakh wood( 0.61mm*0.915mm )room frame made and on both side 3mm hardboard installation done with liste work done on joint do covering.,WCW04,SM,35.58,23,2.3
38mm*75mm size agrakh wood( 0.61mm*0.915mm )room frame made and on both side 19mm agrakh flank installation on lap joints done covering.,WCW05,SM,35.58,30,3
50mm*75mm size agrakh wood 0.6mm*0.9mmroom (frame) and then installing different ceiling.(3mm commercial plywood ),WCW06,SM,35.58,23,2.3
50mm*75mm size agrakh wood 0.6mm*0.9m room (frame) and then installing different ceiling.(12mm hardboard plywood ),WCW07,SM,35.58,23,2.3
50mm*75mm size agrakh wood 0.6mm*0.9mmroom (frame) and then installing different ceiling.(6mm water proof plywood ),WCW08,SM,35.58,23,2.3
75mm*75mm size agrakh wood on 1.71mm*1.86mm room size with farme of sal of 50mm*75mm cross partison doing and 12mm commercial plywood oneside and 4mm teak on lamination doing and doing joint covering by wood listee.,WCW09,SM,35.58,4.26,0.426
prepration and installation of gypsum false ceiling on GI frame (under RCC frame),WCW011,SM,10,0,0
prepration and installation of gypsum board suspended ceiling on GI frame (under RCC frame),WCW013,SM,10,0,0
prepration and installation of metaland polyetar laminated ceiling on GI frame (under karkat patta/corrugated sheet),WCW014,SM,10,0,0
prepration and installation of ceiling work by armstrong baord suspended,WCW015,SM,10,0,0
prepration and installation by 6mm thick flex-O board (waterproof cement board)false ceiling work,WCW016,SM,10,0,0
"prepration and installation 12,5mm thick gypsum board on gypsteel G.I underframe",WCW017,SM,10,0,0
prepration and installation 12.5mm thick gypsum board or pannelling work on gypsteel GI underframe,WCW018,SM,10,0,0
prepration and installation by 5mm glass and 9mm laminated board aluminium partisian of size 101mm*45mm*1.1mm,WCW019,SM,10,0,0
prepration and installation by 5mm glass and 9mm laminated board aluminium partisian of size 64mm*38mm*1.1mm,WCW020,SM,10,0,0
 installing and prepration by 75mm*16mm wood frame on sesauu  and polishing work,WCW021,SM,10,0,0
preparing 75mm thick arokon or repicon prefab panel installation work,WCW022,SM,10,0,0
preparing 50mm thick arokon or repicon prefab panel installation work,WCW023,SM,10,0,0
preparing 40mm thick arokon or repicon prefab panel installation work,WCW024,SM,10,0,0
preparing 40mm thick arokon or repicon prefab panel  and making cubical installation work,WCW025,SM,10,0,0
preparing by 5mm thick glass and both side 9mm laminated board and doing UPVC partisian of frame size 60mm*60mm,WCW026,SM,10,0,0
preparing by 5mm thick glass and  9mm laminated board and doing UPVC partisian of frame size 60mm*60mm,WCW027,SM,10,0,0
installation and prepration by aluminium frame of 3 or 4mm thick aluminium composite pannel,WCW028,SM,1,3,3
prepration of alumunium frame  3 layer of 12mm thick decorative pre lamination partical board installation work,WCW029,SM,1,0.8,0.8
" installation of 4mm mirror/glass for window.
",DWP014,CUM,1,9,0.9
" installation of 3mm mirror/glass for window.
",DWP015,CUM,1,9,0.9
filling surface by sand,FW0032,SM,10,6.5,0
"Cutting and placing 16 mm Granite in 20 mm 1:2 Cement sand mortar laying, rubbing and with polishing",FW0010,SM,10,2,21.5
old surface white wash with lime done,PW054,SM,100,0.8,0.7
"from 3mm/4mm"" * 3mm/4mm  size suwere pipe railing is made and 1.5""dia handrail made from black pipe and primer paint is done. ",RWW26,M,1,0,0
75mm*75mm size agrakh wood on 1.71mm*1.86mm room size with farme of sal of 50mm*75mm cross partison doing and 12mm teak plywood oneside and 4mm teak on lamination doing and doing joint partison by covering by wood listee.,WCW10,SM,35.58,6.39,0.639
prepration of sub grade by cutting soil on normal soil and transportation and removal upto 10m,WR01,SM,1,0,0.15
filling soil is done compacted by rolling on layer layer,WR02,CUM,100,0,0.5
"laying of mixed sand and soil gravel for sub base. laoding, transporting,surface leveling and transporting upto 10m.( 10cm solid thickness)",WR03,SM,1,0,0.5
"laying of mixed sand and soil gravel for sub base. laoding, transporting,surface leveling and transporting upto 10m.( 15cm solid thickness)",WR04,SM,1,0,0.19
"laying of mixed sand and soil gravel for sub base. laoding, transporting,surface leveling and transporting upto 10m.( 20cm solid thickness)",WR05,SM,1,0,0.21
"hand brocken or required size gravel subgrade laying work, material loading transportaionsurface laying and 10m transportaion upto10m (10cm solid thicness)",WR06,SM,1,0,0.14
"hand brocken or required size gravel subgrade laying work, material loading transportaionsurface laying and 10m transportaion upto10m (15cm solid thickness)",WR08,SM,1,0,0.21
"hand brocken or required size gravel subgrade laying work, material loading transportaionsurface laying and 10m transportaion upto10m (25cm solid thickness)",WR09,SM,1,0,0.32
hand brocken solid thickness base course laying work of thickness 10cm.surface leveling and transportation upto 10m .,WR10,SM,1,0,0.15
prepration and collection of material for tackcoat laying on top of base course.,WR11,SM,10,0,0.2
prepration and collection of material for primecoat laying on top of base course.,WR12,SM,10,0,0.2
"prepration of gabion wall. cutting of wire,mesh prepration of square shape.mesh size 80mm*100mm , mesh wire9 S.W.G salewage wire 6 S.W,G(2m*1m*1m box).",WR13,Nos,1,0,0.2
"prepration of gabion wall. cutting of wire,mesh prepration of square shape.mesh size 80mm*100mm , mesh wire 9 S.W.G salewage wire 6 S.W,G(3m*1m*1m box).",WR14,Nos,1,0,0.2
"prepration of gabion wall. cutting of wire,mesh prepration of square shape.mesh size 80mm*100mm , mesh wire 9 S.W.G salewage wire 6 S.W,G(2m*1m*0.5m box).",WR15,Nos,1,0,0.2
